Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
2790854,31-Dec-23,California,Hawthorne,14125 Crenshaw Blvd,1,5,0,0,0,N/A
2791341,31-Dec-23,North Carolina,Charlotte,300 S Church St,0,5,0,0,1,N/A
2793000,31-Dec-23,Louisiana,New Roads,N/A,1,3,0,0,1,N/A
2791696,31-Dec-23,South Carolina,Little River,3389 Hwy 9 E,2,2,0,0,0,N/A
2790081,30-Dec-23,Colorado,Denver,4888 W Colfax Ave,2,2,0,0,0,N/A
2790633,30-Dec-23,Texas,Beaumont,6500 block of Bigner Rd,1,4,0,0,0,N/A
2790559,30-Dec-23,Florida,Gainesville,1631 NE 16th Ave,0,4,0,0,0,N/A
2786002,24-Dec-23,Florida,Orlando (Lockhart),2800 block of Sudman Way,2,3,0,0,0,N/A
2786444,24-Dec-23,Colorado,Colorado Springs,750 Citadel Dr E,1,3,0,0,1,N/A
2786038,24-Dec-23,Texas,Houston,5828 Martin Luther King Blvd,1,4,0,0,0,N/A
2786401,23-Dec-23,Washington,Seattle,Occidental Ave S and S Washington St,0,5,0,0,0,N/A
2786253,23-Dec-23,Texas,Fort Worth,9325 Cynthia Ct,1,4,0,0,0,N/A
2785646,23-Dec-23,Maryland,Gwynn Oak (Woodlawn),1808 Woodlawn Dr,1,4,0,0,0,N/A
2784986,22-Dec-23,New York,Corona (Queens),117-29 143rd St,1,3,0,0,1,N/A
2784291,21-Dec-23,District of Columbia,Washington,1399 Half St SW,2,2,0,0,0,N/A
2783287,20-Dec-23,Pennsylvania,Philadelphia,7300 block of Chelwynde Ave,1,3,0,0,0,N/A
2780660,17-Dec-23,South Carolina,Ridgeland,51 Riverwalk Blvd,2,2,0,0,3,N/A
2781391,17-Dec-23,Alabama,Gainestown,Walker Springs Rd and Wooded Acres Rd,0,4,0,0,1,N/A
2779489,15-Dec-23,Tennessee,Memphis,3941 Riverdale Rd,2,3,0,0,1,N/A
2779676,15-Dec-23,California,Los Angeles,238 E El Segundo Blvd,1,4,0,0,0,N/A
2779098,14-Dec-23,Illinois,Ashland,308 Philadelphia Rd,3,1,1,0,0,N/A
2775971,11-Dec-23,Nevada,Las Vegas,7545 Oso Blanca Rd,3,1,1,0,0,N/A
2775245,10-Dec-23,Pennsylvania,Philadelphia,2200 block of N Chadwick St,2,2,0,0,0,N/A
2775006,9-Dec-23,Georgia,Atlanta,3005 Peachtree Rd NE,3,1,0,0,0,N/A
2773914,6-Dec-23,Colorado,Peyton,21885 Akawi Way,3,1,1,0,0,N/A
2772021,6-Dec-23,Nevada,Las Vegas,4505 S Maryland Pkwy,3,1,1,0,0,N/A
